timestamp,user,ip_address,status
2026-07-10 08:15:21,john,192.168.1.10,FAILED
2026-07-10 08:15:35,john,192.168.1.10,FAILED
2026-07-10 08:15:58,john,192.168.1.10,FAILED
2026-07-10 08:16:15,john,192.168.1.10,SUCCESS
2026-07-10 08:20:05,mary,192.168.1.20,SUCCESS
2026-07-10 08:22:14,peter,192.168.1.30,FAILED
2026-07-10 08:23:18,peter,192.168.1.30,SUCCESS
2026-07-10 08:25:42,admin,10.0.0.5,FAILED
2026-07-10 08:26:10,admin,10.0.0.5,FAILED
2026-07-10 08:26:45,admin,10.0.0.5,FAILED
2026-07-10 08:27:11,admin,10.0.0.5,FAILED
2026-07-10 08:27:39,admin,10.0.0.5,FAILED
2026-07-10 08:28:04,admin,10.0.0.5,SUCCESS
2026-07-10 08:35:16,sarah,192.168.1.45,SUCCESS
2026-07-10 08:40:55,david,192.168.1.50,FAILED
